Id2,Geography,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more"
19144,ZCTA5 19144,6114,50,80,5,13,28,147,16,288,175,303,409,569,462,806,357,648,382,551,334,384,32,54,10,0,11,0
19145,ZCTA5 19145,10909,141,89,54,20,27,157,59,93,223,349,456,441,447,1399,1131,1351,925,1349,736,904,370,121,11,0,56,0
19146,ZCTA5 19146,8332,15,45,19,82,34,78,16,80,187,172,393,363,205,642,381,359,284,657,627,1111,948,1253,233,112,22,14
19147,ZCTA5 19147,8748,80,11,48,8,31,40,13,44,53,37,36,65,44,419,66,345,327,1082,1160,2094,1144,1065,331,165,24,16
19148,ZCTA5 19148,12858,233,86,61,17,11,103,38,125,232,161,291,410,322,1574,1201,1881,1884,2085,1192,731,142,27,0,32,0,19
19149,ZCTA5 19149,11051,173,119,80,34,51,8,0,59,167,444,314,401,837,2495,3047,2026,354,193,19,137,47,12,5,16,0,13
19150,ZCTA5 19150,6967,87,56,91,17,31,34,12,10,33,104,60,183,313,611,1103,1901,777,839,469,99,44,56,0,37,0,0
19151,ZCTA5 19151,7941,39,96,28,36,97,90,0,96,141,386,423,372,505,1596,1377,1333,310,313,265,144,155,102,15,22,0,0
19152,ZCTA5 19152,7874,83,0,140,17,50,14,0,6,25,54,15,15,46,326,422,1892,1797,2036,494,197,194,12,10,0,19,10
19153,ZCTA5 19153,3146,4,34,63,36,0,65,0,39,92,58,30,125,224,590,433,649,298,356,23,24,3,0,0,0,0,0
19154,ZCTA5 19154,9858,124,0,91,113,0,0,7,0,0,3,57,61,88,338,284,1328,2863,3226,710,414,52,35,22,19,9,14
